duration_sec,start_station_name,end_station_name,bike_id,user_type,member_gender,bike_share_for_all_trip,duration_min,start_date,start_hour,start_weekday,start_month,member_age,dist
417,San Fernando St at 4th St,Ryland Park,1701,Subscriber,Male,Yes,6.95,2019-02-28,23,Thursday,February,24,1.1633285529128212
579,Franklin Square,Precita Park,4639,Subscriber,Female,No,9.65,2019-02-28,22,Thursday,February,37,1.9209656547624296
259,Haste St at College Ave,Derby St at College Ave,5894,Subscriber,Male,No,4.316666666666666,2019-02-28,23,Thursday,February,21,0.5134797987218329
341,24th St at Bartlett St,Jersey St at Castro St,5576,Customer,Male,No,5.683333333333334,2019-02-28,23,Thursday,February,27,1.2633142772012533
555,Sanchez St at 15th St,11th St at Natoma St,6476,Subscriber,Female,No,9.25,2019-02-28,22,Thursday,February,28,1.549080538932592
575,Sanchez St at 15th St,11th St at Natoma St,5436,Subscriber,Male,No,9.583333333333334,2019-02-28,22,Thursday,February,28,1.549080538932592
759,Telegraph Ave at 19th St,45th St at MLK Jr Way,2732,Subscriber,Female,No,12.65,2019-02-28,22,Thursday,February,50,2.7725876417039377
371,Market St at 10th St,Valencia St at 16th St,6435,Subscriber,Male,No,6.183333333333334,2019-02-28,23,Thursday,February,25,1.3451479415731984
542,Powell St BART Station (Market St at 5th St),San Francisco Caltrain Station 2  (Townsend St at 4th St),1936,Subscriber,Male,No,9.033333333333333,2019-02-28,22,Thursday,February,24,1.3931011922026981
458,Mission Playground,Jersey St at Castro St,5265,Subscriber,Male,No,7.633333333333334,2019-02-28,22,Thursday,February,30,1.4716885486593814
150,Cesar Chavez St at Dolores St,24th St at Chattanooga St,5185,Subscriber,Male,No,2.5,2019-02-28,23,Thursday,February,38,0.46310661420461946
376,Market St at 10th St,Montgomery St BART Station (Market St at 2nd St),5731,Subscriber,Male,No,6.266666666666667,2019-02-28,23,Thursday,February,37,2.052595666665392
1612,Jersey St at Castro St,Valencia St at 22nd St,6299,Customer,Female,No,26.866666666666667,2019-02-28,22,Thursday,February,31,1.2550028273602043
1622,Jersey St at Castro St,Valencia St at 22nd St,5316,Customer,Female,No,27.033333333333335,2019-02-28,22,Thursday,February,35,1.2550028273602043
230,Pierce St at Haight St,18th St at Noe St,6321,Subscriber,Male,No,3.8333333333333335,2019-02-28,23,Thursday,February,56,1.1985926182831652
136,MacArthur BART Station,37th St at West St,5085,Subscriber,Male,No,2.2666666666666666,2019-02-28,23,Thursday,February,26,0.517876160051484
